"Assembly","Session","Date","Word","PDF"
"17th Assembly"," 4th Session","2013-10-17","https://www.ntassembly.ca/sites/assembly/files/hn131017_2.docx","https://www.ntassembly.ca/sites/assembly/files/hn131017.pdf"
"17th Assembly"," 4th Session","2013-6-6","https://www.ntassembly.ca/sites/assembly/files/hn130606_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn130606.pdf"
"17th Assembly"," 4th Session","2013-6-5","https://www.ntassembly.ca/sites/assembly/files/hn130605.docx","https://www.ntassembly.ca/sites/assembly/files/hn130605.pdf"
"17th Assembly"," 4th Session","2013-6-4","https://www.ntassembly.ca/sites/assembly/files/hn130604.docx","https://www.ntassembly.ca/sites/assembly/files/hn130604.pdf"
"17th Assembly"," 4th Session","2013-6-3","https://www.ntassembly.ca/sites/assembly/files/hn130603.docx","https://www.ntassembly.ca/sites/assembly/files/hn130603.pdf"
"17th Assembly"," 4th Session","2013-5-31","https://www.ntassembly.ca/sites/assembly/files/hn130531.docx","https://www.ntassembly.ca/sites/assembly/files/hn130531.pdf"
"17th Assembly"," 4th Session","2013-5-30","https://www.ntassembly.ca/sites/assembly/files/hn130530.docx","https://www.ntassembly.ca/sites/assembly/files/hn130530.pdf"
"17th Assembly"," 4th Session","2013-5-29","https://www.ntassembly.ca/sites/assembly/files/hn130529.docx","https://www.ntassembly.ca/sites/assembly/files/hn130529.pdf"
"17th Assembly"," 4th Session","2013-3-14","https://www.ntassembly.ca/sites/assembly/files/hn130314.docx","https://www.ntassembly.ca/sites/assembly/files/hn130314.pdf"
"17th Assembly"," 4th Session","2013-3-13","https://www.ntassembly.ca/sites/assembly/files/hn130313.docx","https://www.ntassembly.ca/sites/assembly/files/hn130313.pdf"
"17th Assembly"," 4th Session","2013-3-12","https://www.ntassembly.ca/sites/assembly/files/hn130312.docx","https://www.ntassembly.ca/sites/assembly/files/hn130312.pdf"
"17th Assembly"," 4th Session","2013-3-11","https://www.ntassembly.ca/sites/assembly/files/hn130311.docx","https://www.ntassembly.ca/sites/assembly/files/hn130311.pdf"
"17th Assembly"," 4th Session","2013-3-8","https://www.ntassembly.ca/sites/assembly/files/hn130308.docx","https://www.ntassembly.ca/sites/assembly/files/hn130308.pdf"
"17th Assembly"," 4th Session","2013-3-7","https://www.ntassembly.ca/sites/assembly/files/hn130307.docx","https://www.ntassembly.ca/sites/assembly/files/hn130307.pdf"
"17th Assembly"," 4th Session","2013-3-6","https://www.ntassembly.ca/sites/assembly/files/hn130306_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn130306.pdf"
"17th Assembly"," 3rd Session","2012-11-6","https://www.ntassembly.ca/sites/assembly/files/hn121106.docx","https://www.ntassembly.ca/sites/assembly/files/hn121106.pdf"
"17th Assembly"," 3rd Session","2012-11-5","https://www.ntassembly.ca/sites/assembly/files/hn121105.docx","https://www.ntassembly.ca/sites/assembly/files/hn121105.pdf"
"17th Assembly"," 3rd Session","2012-11-2","https://www.ntassembly.ca/sites/assembly/files/hn121102.docx","https://www.ntassembly.ca/sites/assembly/files/hn121102.pdf"
"17th Assembly"," 3rd Session","2012-11-1","https://www.ntassembly.ca/sites/assembly/files/hn121101.docx","https://www.ntassembly.ca/sites/assembly/files/hn121101.pdf"
"17th Assembly"," 3rd Session","2012-10-31","https://www.ntassembly.ca/sites/assembly/files/hn121031_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn121031.pdf"
"17th Assembly"," 3rd Session","2012-10-30","https://www.ntassembly.ca/sites/assembly/files/hn121030.docx","https://www.ntassembly.ca/sites/assembly/files/hn121030.pdf"
"17th Assembly"," 3rd Session","2012-10-29","https://www.ntassembly.ca/sites/assembly/files/hn121029.docx","https://www.ntassembly.ca/sites/assembly/files/hn121029.pdf"
"17th Assembly"," 3rd Session","2012-10-25","https://www.ntassembly.ca/sites/assembly/files/hn121025.docx","https://www.ntassembly.ca/sites/assembly/files/hn121025.pdf"
"17th Assembly"," 3rd Session","2012-10-23","https://www.ntassembly.ca/sites/assembly/files/hn121023.docx","https://www.ntassembly.ca/sites/assembly/files/hn121023.pdf"
"17th Assembly"," 3rd Session","2012-10-22","https://www.ntassembly.ca/sites/assembly/files/hn121022.docx","https://www.ntassembly.ca/sites/assembly/files/hn121022.pdf"
"17th Assembly"," 3rd Session","2012-10-19","https://www.ntassembly.ca/sites/assembly/files/hn121019.docx","https://www.ntassembly.ca/sites/assembly/files/hn121019.pdf"
"17th Assembly"," 3rd Session","2012-10-18","https://www.ntassembly.ca/sites/assembly/files/hn121018.docx","https://www.ntassembly.ca/sites/assembly/files/hn121018.pdf"
"17th Assembly"," 3rd Session","2012-10-17","https://www.ntassembly.ca/sites/assembly/files/hn121017.docx","https://www.ntassembly.ca/sites/assembly/files/hn121017.pdf"
"17th Assembly"," 3rd Session","2012-6-14","https://www.ntassembly.ca/sites/assembly/files/hn120614_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn120614.pdf"
"17th Assembly"," 3rd Session","2012-6-13","https://www.ntassembly.ca/sites/assembly/files/hn120613.docx","https://www.ntassembly.ca/sites/assembly/files/hn120613.pdf"
"17th Assembly"," 3rd Session","2012-6-12","https://www.ntassembly.ca/sites/assembly/files/hn120612.docx","https://www.ntassembly.ca/sites/assembly/files/hn120612.pdf"
"17th Assembly"," 3rd Session","2012-6-11","https://www.ntassembly.ca/sites/assembly/files/hn120611.docx","https://www.ntassembly.ca/sites/assembly/files/hn120611.pdf"
"17th Assembly"," 3rd Session","2012-6-8","https://www.ntassembly.ca/sites/assembly/files/hn120608.docx","https://www.ntassembly.ca/sites/assembly/files/hn120608.pdf"
"17th Assembly"," 3rd Session","2012-6-7","https://www.ntassembly.ca/sites/assembly/files/hn120607.docx","https://www.ntassembly.ca/sites/assembly/files/hn120607.pdf"
"17th Assembly"," 3rd Session","2012-6-6","https://www.ntassembly.ca/sites/assembly/files/hn120606.docx","https://www.ntassembly.ca/sites/assembly/files/hn120606.pdf"
"17th Assembly"," 3rd Session","2012-6-5","https://www.ntassembly.ca/sites/assembly/files/hn120605.docx","https://www.ntassembly.ca/sites/assembly/files/hn120605.pdf"
"17th Assembly"," 3rd Session","2012-6-4","https://www.ntassembly.ca/sites/assembly/files/hn120604.docx","https://www.ntassembly.ca/sites/assembly/files/hn120604.pdf"
"17th Assembly"," 3rd Session","2012-5-31","https://www.ntassembly.ca/sites/assembly/files/hn120531.docx","https://www.ntassembly.ca/sites/assembly/files/hn120531.pdf"
"17th Assembly"," 3rd Session","2012-5-30","https://www.ntassembly.ca/sites/assembly/files/hn120530.docx","https://www.ntassembly.ca/sites/assembly/files/hn120530.pdf"
"17th Assembly"," 3rd Session","2012-5-29","https://www.ntassembly.ca/sites/assembly/files/hn120529.docx","https://www.ntassembly.ca/sites/assembly/files/hn120529.pdf"
"17th Assembly"," 2nd Session","2012-2-17","https://www.ntassembly.ca/sites/assembly/files/hn120217_0.docx","https://www.ntassembly.ca/sites/assembly/files/hn120217_0.pdf"
"17th Assembly"," 2nd Session","2012-2-16","https://www.ntassembly.ca/sites/assembly/files/hn120216.docx","https://www.ntassembly.ca/sites/assembly/files/hn120216.pdf"
